Latitude,Longitude,Elevation_m,Rock_Type,Region,Al_wt_pct,Si_wt_pct,Mg_wt_pct,Fe_wt_pct,Ca_wt_pct,Na_wt_pct,K_wt_pct,Ti_wt_pct,Mn_wt_pct,P_wt_pct,Cr_wt_pct,Ni_wt_pct
-9.003303628221612,53.44459795377334,360.9185401244549,Anorthosite,Highlands,16.488,20.964,1.674,13.84,15.15,1.409,0.211,0.426,0.02,0.107,0.069,0.001
25.757304135723565,-53.13159677798288,401.7711967807397,Regolith,Mare Serenitatis,28.0,20.385,0.718,4.216,10.758,3.811,1.08,0.27,0.08,0.387,0.055,0.018
-7.246407769173061,51.71983436551008,-1069.1150240215632,Gabbro,Highlands,2.449,27.013,1.337,22.249,7.341,3.13,0.311,1.466,0.179,0.055,0.039,0.025
19.8820623733182,-53.939112914063216,210.32663197684118,Anorthosite,Oceanus Procellarum,18.691,18.585,5.434,12.808,16.221,2.317,0.279,1.281,0.1,0.194,0.201,0.042
20.539530284996047,5.676569293762114,1039.5142412553319,Basalt,Mare Imbrium,4.619,15.951,8.727,25.568,20.0,1.657,0.098,1.685,0.324,0.411,0.219,0.094
-7.605530617245972,46.85291376013029,-435.43476052080223,Basalt,Oceanus Procellarum,3.271,24.357,10.032,24.098,8.69,4.751,0.059,1.623,0.285,0.545,0.164,0.036
7.9193208237713435,-28.47348677264366,795.4942130133325,Basalt,Mare Imbrium,2.0,18.858,9.457,26.649,3.894,3.932,0.023,1.666,0.282,1.016,0.365,0.112
-24.27770386361648,-3.330180126580977,92.31070994533955,Troctolite,Mare Tranquillitatis,8.041,20.725,0.865,21.696,4.141,2.802,0.266,1.12,0.227,0.288,0.015,0.026
-23.779285155943413,-21.080534503564003,-402.24889796550957,Gabbro,South Pole-Aitken,2.427,19.061,2.373,27.153,11.926,3.042,0.252,1.578,0.298,0.016,0.005,0.001
-27.080540180297202,54.25727004916216,-142.6858868569836,Gabbro,Oceanus Procellarum,2.236,23.212,3.919,26.118,4.065,2.679,0.229,1.733,0.239,0.41,0.183,0.052
4.86090560250657,38.837471370370906,-853.9305539232515,Basalt,Highlands,28.0,16.877,11.9,5.009,5.084,0.831,1.273,0.842,0.094,0.434,0.149,0.06
-4.435741342434177,25.08018135916555,19.826513365112415,Regolith,Mare Tranquillitatis,16.182,12.602,14.42,12.503,2.413,4.546,0.547,1.492,0.13,0.163,0.166,0.053
2.881941399854405,10.51523839381305,206.02492641050776,Norite,South Pole-Aitken,13.794,24.887,2.343,14.754,12.781,3.263,0.384,0.915,0.174,0.014,0.035,0.024
1.2643914305032702,38.47101471889778,1182.4264197548457,Basalt,Highlands,15.802,21.742,5.856,15.215,5.171,4.145,0.036,0.939,0.186,0.13,0.165,0.066
-8.987820534556185,-12.927955017174348,193.0814977953691,Basalt,Mare Serenitatis,28.0,24.218,8.319,3.856,5.629,2.455,0.107,0.443,0.092,0.047,0.173,0.041
10.648404889408376,-6.293777387272577,715.4483315238972,Basalt,Highlands,8.516,24.787,10.009,18.39,14.881,3.111,0.097,0.416,0.179,0.117,0.558,0.2
15.51011285498344,27.60020652970337,-499.4627405264706,Basalt,Mare Imbrium,2.488,18.251,6.999,26.407,17.726,3.384,0.257,1.74,0.296,0.258,0.309,0.076
-29.122304467339458,-17.06942840475429,-90.97349738377405,Anorthosite,Mare Imbrium,22.238,21.182,6.861,7.186,11.98,4.237,0.121,0.789,0.097,0.22,0.043,0.04
-17.5654620138673,-52.33188695419514,159.135227370979,Anorthosite,Mare Serenitatis,18.059,22.516,3.672,16.704,11.708,5.152,0.307,1.095,0.172,0.303,0.005,0.009
12.794152085000206,-51.079846933671426,-430.6979255494323,Basalt,Mare Tranquillitatis,5.35,20.675,8.944,20.189,4.103,2.581,0.351,1.063,0.12,0.129,0.029,0.001
-6.802789641969948,-46.156463843315535,-108.76522531357223,Gabbro,South Pole-Aitken,6.416,20.064,3.944,22.625,2.944,2.583,0.01,1.57,0.188,0.143,0.032,0.001
9.749036816496492,44.36175880123953,485.9942964362007,Basalt,Highlands,5.298,20.359,7.213,21.823,1.681,2.705,0.306,1.378,0.268,0.549,0.164,0.055
-9.182240415926493,-3.3328289092554826,1216.1195179834372,Basalt,Mare Imbrium,26.584,24.251,6.978,6.777,16.775,2.284,0.037,1.235,0.143,0.199,0.005,0.001
-6.5546908602217755,25.545884321368376,410.50710493590526,Anorthosite,Mare Tranquillitatis,17.583,20.223,5.015,12.45,15.195,6.176,0.188,1.005,0.148,0.275,0.128,0.048
-20.479267578618906,-12.85087972741281,-353.8118007883826,Anorthosite,Mare Serenitatis,18.585,22.801,2.971,13.722,12.759,0.982,0.389,1.175,0.132,0.218,0.02,0.001
-14.5061388200304,-28.95468631012386,-18.237289270651562,Norite,Oceanus Procellarum,24.11,22.041,1.274,8.658,1.012,6.224,0.365,1.318,0.127,0.205,0.009,0.004
6.324705450455234,-18.336939892534566,-524.0471638631177,Basalt,Mare Imbrium,9.957,18.107,4.916,17.935,1.0,3.766,0.107,1.118,0.074,0.49,0.371,0.122
-4.010213321090017,35.301881438062026,128.7228467459949,Anorthosite,Mare Serenitatis,19.388,21.906,2.62,10.429,15.039,2.901,0.095,0.787,0.14,0.088,0.224,0.066
16.458160976675707,15.025935003772588,744.0494869449163,Anorthosite,Highlands,22.019,16.384,3.878,8.767,14.845,1.995,0.174,1.279,0.058,0.112,0.043,0.008
21.155097296300568,52.51677359494825,150.7783936020155,Basalt,South Pole-Aitken,2.0,22.204,8.284,26.199,6.583,2.951,0.063,1.08,0.255,0.096,0.206,0.069
2.498785093005594,21.564573429220076,-4.763714785487472,Gabbro,Mare Imbrium,2.0,23.673,2.751,26.005,6.563,2.324,1.103,1.462,0.269,0.29,0.049,0.008
15.496037523363547,8.421795810563268,-33.886359490176375,Basalt,Mare Imbrium,14.034,24.364,9.436,17.164,16.044,4.656,0.127,1.101,0.17,0.406,0.005,0.015
-11.585729208325798,13.223521078300138,96.79085348024418,Basalt,Highlands,6.378,18.142,6.421,22.93,1.475,3.757,0.769,1.164,0.271,0.088,0.382,0.124
-5.101727075995306,53.08457273620975,833.3473933623874,Regolith,Oceanus Procellarum,2.0,19.392,2.381,25.381,3.25,5.005,0.411,1.674,0.221,0.031,0.013,0.018
12.766660573009858,34.58411158400473,385.156192186224,Regolith,Mare Tranquillitatis,3.065,21.852,1.011,24.026,13.74,2.652,0.464,1.29,0.206,0.136,0.101,0.044
-6.82728043097816,-57.115051516027464,-516.01739643144,Norite,South Pole-Aitken,28.0,19.572,1.482,2.976,4.501,3.17,0.088,0.651,0.105,0.831,0.005,0.001
5.31029610953933,4.0967635362836745,-296.55778042636814,Basalt,Mare Imbrium,4.575,15.213,9.806,24.606,1.0,2.883,0.442,1.204,0.229,0.046,0.477,0.103
-18.87763325504931,22.600609385587774,611.5008515474793,Basalt,South Pole-Aitken,23.825,19.375,7.066,7.459,1.0,2.551,0.078,0.884,0.177,0.12,0.092,0.025
5.986278898229877,29.8438174126986,203.90071607937384,Gabbro,Mare Imbrium,3.633,21.841,3.889,28.032,11.754,1.765,0.221,2.245,0.275,0.063,0.169,0.055
21.69082243361361,-34.4229456823276,-915.1938079775431,Anorthosite,South Pole-Aitken,16.358,24.203,3.564,14.096,19.455,3.863,0.035,1.048,0.19,0.512,0.098,0.027
22.118378389405535,44.061282534162274,527.7904394476744,Basalt,Mare Serenitatis,2.0,26.068,6.933,26.583,14.606,3.409,0.146,1.56,0.309,0.16,0.384,0.101
13.460664379772382,54.70117766101964,-211.4338260340926,Anorthosite,Mare Imbrium,17.753,21.375,0.5,10.209,15.518,2.943,0.024,0.552,0.128,0.173,0.158,0.072
